IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Male,MLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.15,,,,,,6.15,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LVA,Latvia,Year,2019,true,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,6.15,,,,,,6.15,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,Sex,Female,FMLE,Age Group,85+ years,YEARS85PLUS,,,,,,,6.15,,,,,,6.15,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.15,,,,,,6.15,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,USA,United States of America,Year,2019,true,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.15,,,,,,6.15,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ALB,Albania,Year,2019,true,Sex,Both sexes,BTSX,Age Group,45-54 years,YEARS45-54,,,,,,,6.16,,,,,,6.16,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.16,,,,,,6.16,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,NOR,Norway,Year,2019,true,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.16,,,,,,6.16,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,true,Sex,Male,MLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.16,,,,,,6.16,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,Sex,Both sexes,BTSX,Age Group,45-54 years,YEARS45-54,,,,,,,6.17,,,,,,6.17,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,HUN,Hungary,Year,2019,true,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.17,,,,,,6.17,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,6.18,,,,,,6.18,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,COL,Colombia,Year,2019,true,Sex,Male,MLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.19,,,,,,6.19,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,FRA,France,Year,2019,true,Sex,Male,MLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.19,,,,,,6.19,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2019,true,Sex,Female,FMLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.19,,,,,,6.19,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,COM,Comoros,Year,2019,true,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.20,,,,,,6.2,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,UGA,Uganda,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.21,,,,,,6.21,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,6.22,,,,,,6.22,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2019,true,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,6.23,,,,,,6.23,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Sex,Male,MLE,Age Group,55-64 years,YEARS55-64,,,,,,,6.23,,,,,,6.23,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.24,,,,,,6.24,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.24,,,,,,6.24,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,true,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,6.25,,,,,,6.25,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,MEX,Mexico,Year,2019,true,Sex,Both sexes,BTSX,Age Group,45-54 years,YEARS45-54,,,,,,,6.27,,,,,,6.27,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,PER,Peru,Year,2019,true,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,6.27,,,,,,6.27,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRA,Brazil,Year,2019,true,Sex,Female,FMLE,Age Group,85+ years,YEARS85PLUS,,,,,,,6.28,,,,,,6.28,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.28,,,,,,6.28,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.28,,,,,,6.28,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,6.29,,,,,,6.29,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,CHN,China,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,6.30,,,,,,6.3,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,true,Sex,Female,FMLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,6.30,,,,,,6.3,,,EN,2021-07-06 00:00:00
